mes,temperatura_c,umidade_relativa,velocidade_vento_kmh,precipitacao_mm,dias_sem_chuva,ndvi,indice_fwi,latitude,longitude,altitude_m,tipo_cobertura,ocorrencia_foco
2,26.5,62.5,5.2,5.1,3,0.387,9.8,-16.0868,-66.0828,590.0,pastagem,0
10,26.2,75.0,11.9,5.8,7,0.194,12.7,-32.355,-61.6384,725.0,urbano,0
8,36.1,51.6,4.6,4.3,13,0.627,19.9,-29.0895,-65.9237,172.0,cerrado,0
6,36.3,38.1,8.7,0.1,15,0.753,24.0,-13.6554,-68.9421,235.0,floresta,1
6,30.9,10.0,4.4,0.2,16,0.221,22.7,-23.0873,-73.8902,260.0,urbano,1
11,26.4,46.7,3.5,8.7,0,0.541,8.2,-20.4298,-54.7442,337.0,agricultura,0
2,30.2,69.2,9.7,9.6,5,0.372,12.5,-12.8389,-43.235,129.0,urbano,0
9,29.7,19.4,7.4,2.6,9,0.854,18.5,-7.8139,-71.2205,388.0,floresta,1
3,26.4,56.1,12.5,8.7,6,0.13,13.2,-25.8883,-67.1126,393.0,urbano,0
2,28.4,64.1,14.9,23.6,2,0.325,9.3,-6.8923,-38.4365,712.0,agricultura,0
7,37.0,55.6,5.7,3.9,14,0.562,20.9,-28.8545,-37.4772,370.0,cerrado,1
12,25.6,53.1,16.8,0.5,3,0.394,14.5,-11.5386,-35.5544,70.0,pastagem,0
9,25.6,30.3,6.8,1.1,18,0.741,20.5,-7.5406,-48.8787,93.0,floresta,0
10,20.3,59.4,10.2,3.6,2,0.47,8.6,-21.9026,-73.3729,207.0,cerrado,0
9,28.0,42.2,12.5,1.4,15,0.41,20.8,-1.218,-68.8877,328.0,pastagem,1
10,22.7,58.1,8.8,3.1,6,0.738,11.4,-3.0491,-65.2055,1127.0,floresta,0
7,32.4,50.6,8.9,0.4,13,0.191,20.4,0.5094,-59.9021,823.0,urbano,1
2,23.2,50.4,6.6,5.9,5,0.146,10.5,-20.0127,-59.9914,302.0,urbano,0
11,25.2,61.4,3.7,15.2,6,0.443,8.4,2.4629,-66.8894,218.0,agricultura,0
6,29.9,43.3,12.6,0.9,9,0.822,18.8,-14.6016,-66.9232,396.0,floresta,1
7,31.2,33.2,8.4,2.1,12,0.45,20.1,-21.1769,-35.8128,395.0,pastagem,0
5,38.3,48.1,3.1,1.4,16,0.5,22.8,-9.3243,-70.3779,365.0,agricultura,1
3,30.6,61.8,9.5,8.7,1,0.776,11.3,0.5787,-73.2339,124.0,floresta,0
12,28.1,69.5,5.6,4.3,4,0.378,10.8,0.7838,-73.012,269.0,pastagem,0
10,26.2,62.3,12.2,2.5,5,0.895,13.3,-23.7741,-51.6798,261.0,floresta,0
8,31.3,42.5,11.3,1.0,9,0.613,19.0,-27.2047,-65.1209,485.0,pastagem,1
5,34.3,30.4,7.5,4.4,12,0.549,20.9,-15.9839,-54.7884,815.0,pastagem,0
10,30.3,52.4,9.8,5.4,4,0.359,14.1,2.6659,-55.3965,261.0,agricultura,1
7,29.4,52.7,10.5,1.6,13,0.397,19.1,3.6755,-37.8519,462.0,pastagem,0
6,33.1,45.6,18.8,4.3,15,0.557,24.2,-22.5194,-67.5337,13.0,agricultura,1
6,24.9,25.7,9.5,5.0,23,0.72,23.0,-30.4387,-61.527,444.0,floresta,1
3,28.8,62.2,6.7,0.8,2,0.394,11.7,-6.0442,-46.8164,32.0,pastagem,0
2,31.0,31.5,8.1,10.9,3,0.39,13.8,-24.1923,-52.8474,161.0,agricultura,0
7,31.9,31.1,30.0,1.7,17,0.471,29.6,-24.9789,-50.6467,223.0,agricultura,1
11,35.3,71.5,4.7,16.7,2,0.434,10.2,-5.0452,-55.358,482.0,agricultura,0
1,24.5,58.5,8.5,0.4,6,0.259,12.6,-25.3605,-41.1802,396.0,pastagem,1
11,28.9,61.4,8.4,6.5,2,0.542,11.2,-3.2235,-69.1688,65.0,pastagem,0
10,27.9,23.8,8.7,9.1,6,0.533,14.9,2.1908,-35.8841,487.0,agricultura,1
4,27.6,55.3,3.6,3.7,2,0.443,10.2,-27.1642,-66.7311,1104.0,cerrado,0
8,32.5,42.1,8.0,3.1,15,0.569,21.2,-12.207,-66.5225,119.0,agricultura,0
2,28.4,65.6,6.4,11.1,7,0.46,11.7,-6.3954,-64.7498,257.0,pastagem,0
10,31.4,71.5,12.1,4.8,3,0.593,13.5,-12.6671,-44.3525,326.0,agricultura,0
9,38.5,35.5,20.6,1.3,14,0.509,28.0,1.5701,-50.0612,309.0,pastagem,1
5,33.0,36.0,12.8,3.6,18,0.388,24.7,-30.4249,-69.8773,694.0,pastagem,1
1,31.3,44.0,10.7,6.4,0,0.834,13.2,4.7979,-39.0666,581.0,floresta,0
12,25.2,57.5,13.7,8.5,3,0.257,11.5,-11.6968,-34.4402,446.0,urbano,0
6,36.1,22.9,11.5,1.9,8,0.634,21.9,-24.8914,-54.0961,338.0,cerrado,1
11,25.0,37.8,9.8,6.1,7,0.53,14.0,-8.9503,-73.0981,584.0,pastagem,1
9,37.4,25.0,18.3,1.3,13,0.946,27.0,-7.7476,-53.5158,58.0,floresta,1
10,36.8,78.1,7.9,9.1,3,0.526,13.4,-32.8063,-50.8288,1206.0,pastagem,1
10,27.5,56.8,3.6,1.9,6,0.487,12.3,-1.1953,-66.1572,717.0,cerrado,0
3,19.2,62.6,6.2,0.5,4,0.464,8.3,-30.2959,-72.6318,775.0,pastagem,1
5,30.8,31.8,5.6,1.6,16,0.416,21.3,-24.8362,-54.5117,1446.0,agricultura,1
6,37.9,16.5,35.4,5.1,12,0.547,31.8,-10.3518,-39.0932,702.0,pastagem,1
6,35.2,49.2,21.5,1.9,20,0.711,28.7,-3.5675,-64.0771,141.0,floresta,1
1,29.0,33.9,10.8,4.0,6,0.678,16.4,-8.7157,-59.232,423.0,agricultura,1
7,37.0,31.3,5.7,1.0,14,0.427,23.2,-9.4145,-37.8265,688.0,pastagem,1
2,29.9,59.3,18.2,3.2,6,0.546,17.4,-14.2691,-49.6034,416.0,cerrado,0
9,37.9,40.8,10.5,4.5,9,0.513,21.2,-13.4863,-51.2278,451.0,cerrado,1
9,36.7,29.3,7.9,0.8,10,0.443,21.9,-16.6517,-60.8684,842.0,agricultura,1
12,34.1,37.9,10.6,5.3,6,0.158,18.0,-22.4453,-35.5014,335.0,urbano,1
9,34.4,28.4,8.0,1.1,15,0.519,23.4,-19.2141,-46.0643,971.0,agricultura,1
5,36.6,29.0,13.6,0.7,16,0.501,26.6,0.3698,-69.909,235.0,agricultura,0
